url,name,name_fr
https://github.com/canada-ca,Government of Canada,Gouvernement du Canada
https://github.com/goc,Government of Canada,Gouvernement du Canada
https://bitbucket.org/apogy,Apogy - Canadian Space Agency,Apogy - Agence spatiale canadienne
https://github.com/communicationssecurityestablishment,Communications Security Establishment,Centre de la sécurité des télécommunications
https://github.com/phac-nml,National Microbiology Laboratory,Laboratoire national de microbiologie
https://github.com/nrc-cnrc,National Research Council Canada,Conseil national de recherches Canada
https://github.com/nrcan,Natural Resources Canada,Ressources naturelles Canada
https://github.com/pwgsc,Public Services and Procurement Canada,Services publics et Approvisionnement Canada
https://github.com/tbs-sct,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada
https://github.com/wet-boew,Web Experience Toolkit (WET),Boîte à outils de l’expérience Web (BOEW)
https://github.com/open-data,Open Data Initiative,Initiative sur les données ouvertes
https://github.com/AAFC-MBB,Microbial Biodiversity Bioinformatics,Bioinformatique et biodiversité microbienne
https://github.com/ECCC-MSC,Weather and Meteorology,Conditions atmosphériques et météorologie
https://github.com/MC-MBO-WebPublishingTeam,Measurement Canada,Mesures Canada
https://github.com/RAMP-PCAR,"Reusable, Accessible, Mapping Platform (RAMP)",Plateforme de Cartographie Accessible et réutilisable
https://github.com/ServiceCanada,Service Canada,Service Canada
https://github.com/TBS-EACPD,Expenditure Analysis and Compensation Planning,Analyse des dépenses et de la planification de la rémunération
https://github.com/GeoCanViz,GeoCanViz,GeoCanViz
https://github.com/fgpv-vpgf,Federal Geospatial Platform Visualiser,Visualisateur pour la plate-forme géospatiale fédérale
